wave,input_group,mode,feature,median_value,mean_value,n_variants,baseline_median_value,baseline_mean_value,median_delta_vs_baseline,mean_delta_vs_baseline
validation,data_only,reasoning,control_pct,-0.16918305233648198,-0.29373181536919307,3,-0.7730221237238182,-0.7730221237238182,0.6038390713873362,0.4792903083546251
validation,data_only,single,CONFIG_MPCR,0.42747212074524815,0.48786272434190686,3,0.35368935867158174,0.35368935867158174,0.07378276207366641,0.13417336567032512
validation,data_only,single,CONFIG_numRounds,0.10951980988070811,0.09313549359774764,3,-0.0491591726082142,-0.0491591726082142,0.15867898248892232,0.14229466620596185
validation,data_only,single,CONFIG_playerCount,0.15995622559048758,0.06900180267189837,3,-0.0355443926860903,-0.0355443926860903,0.1955006182765779,0.10454619535798867
validation,data_only,single,CONFIG_punishmentCost,-0.20978816883471113,-0.2048862323760047,3,-0.3229160955210082,-0.3229160955210082,0.11312792668629706,0.1180298631450035
validation,data_only,single,CONFIG_punishmentTech,0.13072319488799847,0.07183519542270479,3,-0.3565299344128684,-0.3565299344128684,0.48725312930086684,0.4283651298355732
validation,data_only,single,CONFIG_rewardTech,-0.0496071856198001,-0.055152851156769066,3,-0.13166604841632365,-0.13166604841632365,0.08205886279652355,0.07651319725955458
validation,data_only,single,control_pct,-0.8458195102907758,-0.7602880898246797,3,-0.6679236942844734,-0.6679236942844734,-0.17789581600630244,-0.09236439554020626
validation,paper_only,joint,CONFIG_MPCR,0.2773421049918422,0.26287478121035385,3,0.20135063410638407,0.20135063410638407,0.07599147088545813,0.06152414710396978
validation,paper_only,joint,CONFIG_numRounds,-0.1705284524394918,-0.18814882682277556,3,-0.11827028215718054,-0.11827028215718054,-0.052258170282311264,-0.06987854466559502
validation,paper_only,joint,CONFIG_playerCount,0.2426229768247441,0.15323758435729368,3,0.03667369382071379,0.03667369382071379,0.20594928300403031,0.1165638905365799
validation,paper_only,joint,CONFIG_punishmentCost,-0.1599258335814793,-0.20432808767816157,3,0.038979212620963447,0.038979212620963447,-0.19890504620244276,-0.243307300299125
validation,paper_only,joint,CONFIG_punishmentTech,-0.17587828554607818,-0.17309151511104384,3,-0.0008223775232222922,-0.0008223775232222922,-0.1750559080228559,-0.17226913758782156
validation,paper_only,joint,CONFIG_rewardTech,-0.039743340586718384,-0.12303794846978373,3,0.03103847307658741,0.03103847307658741,-0.0707818136633058,-0.15407642154637113
validation,paper_only,joint,control_pct,-0.9007203129807205,-0.7664887222808247,3,-0.45796142711580534,-0.45796142711580534,-0.4427588858649152,-0.3085272951650193
validation,paper_only,joint_reasoning,CONFIG_MPCR,-0.14683426429917454,-0.007161650282802541,3,0.3265445948125131,0.3265445948125131,-0.47337885911168764,-0.3337062450953156
validation,paper_only,joint_reasoning,CONFIG_numRounds,0.035565589675282824,0.08700130955686837,3,0.10570967104744611,0.10570967104744611,-0.07014408137216328,-0.018708361490577738
validation,paper_only,joint_reasoning,CONFIG_playerCount,0.09849232728675854,0.1537378753544596,3,-0.11481577983571777,-0.11481577983571777,0.2133081071224763,0.2685536551901774
validation,paper_only,joint_reasoning,CONFIG_punishmentCost,-0.2044630781100598,-0.18506830964865773,3,-0.5195460886016662,-0.5195460886016662,0.31508301049160636,0.33447777895300845
validation,paper_only,joint_reasoning,CONFIG_punishmentTech,-0.20629435870839435,-0.08508625229127792,3,0.019063349193310538,0.019063349193310538,-0.2253577079017049,-0.10414960148458846
validation,paper_only,joint_reasoning,CONFIG_rewardTech,-0.09028120836538664,-0.11031000981263078,3,0.12351173049765526,0.12351173049765526,-0.2137929388630419,-0.23382174031028605
validation,paper_only,joint_reasoning,control_pct,-0.13642000559145737,-0.32998547259698713,3,-0.6284459309494709,-0.6284459309494709,0.4920259253580135,0.29846045835248375
validation,paper_only,reasoning,CONFIG_MPCR,-0.10253334843366976,-0.09772840109044084,3,0.475918091025485,0.475918091025485,-0.5784514394591548,-0.5736464921159259
validation,paper_only,reasoning,CONFIG_numRounds,0.07677752956848989,-0.08055571580707359,3,0.019903994663810907,0.019903994663810907,0.05687353490467899,-0.10045971047088449
validation,paper_only,reasoning,CONFIG_playerCount,-0.15155351089814428,-0.16948345764743297,3,0.3016475567605514,0.3016475567605514,-0.45320106765869567,-0.4711310144079843
validation,paper_only,reasoning,CONFIG_punishmentCost,0.17130151998467233,0.20964790187135354,3,-0.011496798947134351,-0.011496798947134351,0.18279831893180667,0.2211447008184879
validation,paper_only,reasoning,CONFIG_punishmentTech,0.09636248217803836,0.14497286798327957,3,0.16904843862846905,0.16904843862846905,-0.07268595645043069,-0.024075570645189476
validation,paper_only,reasoning,CONFIG_rewardTech,-0.3551648257144489,-0.3542424130878125,3,0.08138488013516858,0.08138488013516858,-0.4365497058496175,-0.4356272932229811
validation,paper_only,reasoning,control_pct,0.34542340045142506,0.3368320704704644,3,-0.7730221237238182,-0.7730221237238182,1.1184455241752431,1.1098541941942826
validation,paper_only,single,CONFIG_MPCR,0.42909964389252353,0.36785863613835407,3,0.35368935867158174,0.35368935867158174,0.07541028522094179,0.014169277466772323
validation,paper_only,single,CONFIG_numRounds,0.05947154482674685,0.07474652424625376,3,-0.0491591726082142,-0.0491591726082142,0.10863071743496105,0.12390569685446796
validation,paper_only,single,CONFIG_playerCount,0.09543576502698457,0.055690643373969784,3,-0.0355443926860903,-0.0355443926860903,0.13098015771307486,0.09123503606006009
validation,paper_only,single,CONFIG_punishmentCost,-0.09925641567909013,-0.09834879269177517,3,-0.3229160955210082,-0.3229160955210082,0.22365967984191806,0.22456730282923304
validation,paper_only,single,CONFIG_punishmentTech,0.09957878442004627,0.07646731630298992,3,-0.3565299344128684,-0.3565299344128684,0.45610871883291465,0.4329972507158583
validation,paper_only,single,CONFIG_rewardTech,-0.15312684272698676,-0.12682529195343953,3,-0.13166604841632365,-0.13166604841632365,-0.02146079431066311,0.0048407564628841215
validation,paper_only,single,control_pct,-0.4647627623484424,-0.3788330420673722,3,-0.6679236942844734,-0.6679236942844734,0.20316093193603102,0.2890906522171012
